GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
8600000US06354,06354,ZCTA5 06354,54940,5460
8600000US06355,06355,ZCTA5 06355,84576,6581
8600000US06357,06357,ZCTA5 06357,74829,4262
8600000US06359,06359,ZCTA5 06359,77865,11643
8600000US06360,06360,ZCTA5 06360,50586,2482
8600000US06365,06365,ZCTA5 06365,67069,10068
8600000US06370,06370,ZCTA5 06370,77333,14391
8600000US06371,06371,ZCTA5 06371,84877,6278
8600000US06373,06373,ZCTA5 06373,38000,18300
8600000US06374,06374,ZCTA5 06374,70024,6829
8600000US06375,06375,ZCTA5 06375,79625,15459
8600000US06376,06376,ZCTA5 06376,180511,40117
8600000US06377,06377,ZCTA5 06377,77218,8612
8600000US06378,06378,ZCTA5 06378,92475,9748
8600000US06379,06379,ZCTA5 06379,65746,9651
8600000US06380,06380,ZCTA5 06380,41612,5898
8600000US06382,06382,ZCTA5 06382,58842,3904
8600000US06384,06384,ZCTA5 06384,72452,6876
8600000US06385,06385,ZCTA5 06385,74333,4593
8600000US06387,06387,ZCTA5 06387,29063,23150
8600000US06389,06389,ZCTA5 06389,-,**
8600000US06401,06401,ZCTA5 06401,43144,4028
8600000US06403,06403,ZCTA5 06403,87847,8633
8600000US06405,06405,ZCTA5 06405,71158,3628
8600000US06409,06409,ZCTA5 06409,36833,48000
8600000US06410,06410,ZCTA5 06410,107838,5304
8600000US06412,06412,ZCTA5 06412,74063,9320
8600000US06413,06413,ZCTA5 06413,70444,6720
8600000US06414,06414,ZCTA5 06414,132574,88007
8600000US06415,06415,ZCTA5 06415,99720,7514
8600000US06416,06416,ZCTA5 06416,80028,5886
8600000US06417,06417,ZCTA5 06417,65577,9284
8600000US06418,06418,ZCTA5 06418,52136,7447
8600000US06419,06419,ZCTA5 06419,112344,17667
8600000US06420,06420,ZCTA5 06420,103333,18563
8600000US06422,06422,ZCTA5 06422,117328,10141
8600000US06423,06423,ZCTA5 06423,73883,10608
8600000US06424,06424,ZCTA5 06424,95533,5456
8600000US06426,06426,ZCTA5 06426,100515,23187
8600000US06437,06437,ZCTA5 06437,99441,5358
8600000US06438,06438,ZCTA5 06438,99046,20023
8600000US06441,06441,ZCTA5 06441,99063,11020
8600000US06442,06442,ZCTA5 06442,89013,23912
8600000US06443,06443,ZCTA5 06443,108231,6965
8600000US06444,06444,ZCTA5 06444,103000,162948
8600000US06447,06447,ZCTA5 06447,112714,14393
8600000US06450,06450,ZCTA5 06450,55699,2980
8600000US06451,06451,ZCTA5 06451,50565,2880
8600000US06455,06455,ZCTA5 06455,102844,15005
8600000US06456,06456,ZCTA5 06456,117216,162932
8600000US06457,06457,ZCTA5 06457,61373,2334
8600000US06460,06460,ZCTA5 06460,79746,3023
8600000US06461,06461,ZCTA5 06461,83506,8627
8600000US06467,06467,ZCTA5 06467,63056,78647
8600000US06468,06468,ZCTA5 06468,108688,8093
8600000US06469,06469,ZCTA5 06469,91444,13219
8600000US06470,06470,ZCTA5 06470,111798,12178
8600000US06471,06471,ZCTA5 06471,85870,6199
8600000US06472,06472,ZCTA5 06472,94831,23792
8600000US06473,06473,ZCTA5 06473,84131,5141
8600000US06475,06475,ZCTA5 06475,74896,15129
8600000US06477,06477,ZCTA5 06477,105190,6734
8600000US06478,06478,ZCTA5 06478,98504,7854
8600000US06479,06479,ZCTA5 06479,81514,12667
8600000US06480,06480,ZCTA5 06480,82770,11794
8600000US06481,06481,ZCTA5 06481,82174,35887
8600000US06482,06482,ZCTA5 06482,105873,12587
8600000US06483,06483,ZCTA5 06483,77465,10494
